feature_name,rf_importance,lasso_coefficient
Damping_x_WindSpeed,0.15088177747242837,-0.0
Damping_x_WindSpeed_sq,0.13896137201091482,7.518961073990273
Damping_x_WindSpeed_cu,0.1375924959254129,7.242991502209685
Critical_Wind_Speed_ms_sq,0.04819886946055348,-0.0
Critical_Wind_Speed_ms,0.043359708238874806,-43.79391649406857
Critical_Wind_Speed_ms_cu,0.041904878420482176,12.755363633573067
Span_m_cu,0.025453672949541283,0.06820714767932913
Span_sqrt,0.02448849184445293,7.9749122357429005
Span_sqrt_cu,0.024449713758252917,0.05863965519089724
Span_m_sq,0.023558321993355627,0.14759948998616237
Span_m,0.022962507965436734,1.727965789197748
Span_sqrt_sq,0.01988582115098779,0.0
Width_m,0.01691351189311066,0.0
Width_m_sq,0.015249613082797814,4.191953751085087
Damping_x_Span_cu,0.014905859980526999,-6.621416070742611
Damping_x_Span_sq,0.014841765593533158,0.0
Width_m_cu,0.014534707199224325,-1.877886904988195
Damping_x_Span,0.011972711259202275,0.2850247008525098
Stiffness_Parameter_sq,0.007086696924561823,13.381195448078792
Scruton_x_ReVel,0.0070808767856990204,24.737075261518626
Stiffness_Parameter,0.00704779031991206,-0.0
Natural_Freq_Hz_cu,0.006968621870671273,-0.3711464388367064
Scruton_x_ReVel_sq,0.006774899642002029,-25.288346232297894
vr_lock_in_response,0.006609579785735327,-39.34832024370297
Natural_Freq_Hz,0.006425286650195583,0.0
Stiffness_Parameter_cu,0.006387031975933004,4.63689055835299
vr_lock_in_response_sq,0.006108887254817601,16.38301612385054
distance_to_lock_in_center_cu,0.005886001206358738,-7.175996849604531
Aspect_Ratio_squared,0.005831659812680337,0.6833352150394707
Aspect_Ratio_sq,0.005606467863066003,0.0
Scruton_x_ReVel_cu,0.005463674643182593,-0.0
Aspect_Ratio_squared_sq,0.005377492044383002,0.0
Reduced_Velocity,0.005292415740976123,11.419938273163512
Stiffness_Damping_Ratio,0.005152625403042356,-19.82331519220588
Natural_Freq_Hz_sq,0.004912357193506003,0.0
Aspect_Ratio_cu,0.004781809542299172,3.271943962005104
distance_to_lock_in_center_sq,0.004746919637666408,-0.5920969383071435
Aspect_Ratio_squared_cu,0.004560464360329286,0.0
distance_to_lock_in_center,0.004418734547119855,3.3392933649034156
Width_Height_Ratio,0.004314119819723421,0.0
Scruton_Number_cu,0.004171223833207302,-10.693950193058251
Width_Height_Ratio_cu,0.004131999607516635,1.8125236153318658
Freq_x_Width_sq,0.00410366216003873,14.527679461639158
Width_Height_Ratio_sq,0.003905982617727603,0.0
Freq_x_Width,0.0036879534618745402,3.5179679565278157
vr_lock_in_response_cu,0.0036823834614036115,0.0
Height_m,0.003607849826909622,-0.983116045243085
Scruton_Number,0.0035843169803295395,-0.0
Scruton_Number_sq,0.003567751255156298,4.229881173799334
Height_m_cu,0.0035104905204479727,1.4897469189539556
Aspect_Ratio,0.0034282901509376097,0.0
Stiffness_Damping_Ratio_sq,0.0032885506080949007,-37.62702590096869
Freq_x_Width_cu,0.0032610970284690653,-13.49500957266087
Reduced_Velocity_cu,0.003201956373390428,1.745172531939651
Height_m_sq,0.003173550868547114,0.0
Stiffness_Damping_Ratio_cu,0.002915749075072705,30.859769919178223
Damping_squared,0.0028344903335892958,-0.0
Reduced_Velocity_sq,0.0028290330588852104,7.139970785172842
VIV_Susceptibility_cu,0.0027669508182526768,13.859335769396944
VIV_Susceptibility,0.0027120637041060987,-0.0
VIV_Susceptibility_sq,0.0027011992789422613,-0.0
Damping_squared_cu,0.002504957704066147,0.0
Damping_Ratio_sq,0.0017893682673489244,0.0
Damping_Ratio_cu,0.001707316100598754,0.0
Damping_squared_sq,0.0015920025766311882,9.02421298533144
Damping_Ratio,0.0012423775394656894,-41.16204030691951
viv_branch,0.0011037148397198093,-4.899797056966736
is_in_lock_in_region_sq,0.00038743574310353676,-0.0
Scruton_in_lock_in_sq,0.00033170757436735136,-11.464514905346844
lock_in_depth_sq,0.00024017713084438386,0.0
lock_in_depth_cu,0.00022975564951705198,-0.0
lock_in_depth,0.00022685743132905333,16.887497532600033
is_in_lock_in_region,0.00020422559934900222,-0.3497779148337008
viv_branch_sq,0.000155492034996406,-0.0
Scruton_in_lock_in,0.00010427178673643017,0.0
Scruton_in_lock_in_cu,0.00010197866830193515,13.251668162512212
viv_branch_cu,3.3816147324465855e-05,-0.0
is_in_lock_in_region_cu,2.778696045062487e-05,-0.0
